SHITOMASI + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 15.0726, 1.16034
2, 12.622, 13.2428, 0.620816
3, 19.2468, 14.3921, 4.85469
4, 11.0284, 12.8477, 1.81932
5, 13.1216, 12.8285, 0.29312
6, 11.2206, 11.3009, 0.0802927
7, 15.3662, 12.1551, 3.21109
8, 20.0258, 13.6508, 6.37509
9, 12.6129, 10.8869, 1.72604
10, 14.3845, 35.585, 21.2004
11, 10.5171, 12.8, 2.28288
12, 10.5696, 11.5836, 1.01399
13, 8.68673, 11.1144, 2.42762
14, 11.2842, 12.5836, 1.2994
15, 7.96017, 10.0253, 2.06516
16, 9.02671, 11.414, 2.38726
17, 9.77828, 10.6233, 0.845026
18, 10.641, 10.2699, 0.371062

SHITOMASI + BRIEF
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.6756, 0.763364
2, 12.622, 13.9717, 1.34971
3, 19.2468, 9.73978, 9.50698
4, 11.0284, 14.982, 3.9536
5, 13.1216, 12.7628, 0.358777
6, 11.2206, 13.2703, 2.04974
7, 15.3662, 15.2664, 0.0998355
8, 20.0258, 12.0847, 7.94112
9, 12.6129, 11.8703, 0.742586
10, 14.3845, 12.6285, 1.75608
11, 10.5171, 11.8507, 1.33355
12, 10.5696, 11.7642, 1.19463
13, 8.68673, 11.7197, 3.03295
14, 11.2842, 11.3557, 0.0715174
15, 7.96017, 12.1983, 4.23809
16, 9.02671, 8.23961, 0.787103
17, 9.77828, 11.1382, 1.35991
18, 10.641, 8.43097, 2.21

SHITOMASI + ORB
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.8743, 0.0379221
2, 12.622, 11.6588, 0.963162
3, 19.2468, 12.0672, 7.17961
4, 11.0284, 13.0791, 2.05068
5, 13.1216, 12.0934, 1.02819
6, 11.2206, 13.2282, 2.00763
7, 15.3662, 12.8026, 2.56357
8, 20.0258, 11.8822, 8.14367
9, 12.6129, 11.2348, 1.37813
10, 14.3845, 14.0505, 0.334014
11, 10.5171, 11.4706, 0.953519
12, 10.5696, 11.5615, 0.991921
13, 8.68673, 11.6524, 2.9657
14, 11.2842, 11.426, 0.141859
15, 7.96017, 10.5507, 2.59055
16, 9.02671, 10.0444, 1.01765
17, 9.77828, 9.5383, 0.239986
18, 10.641, 8.21711, 2.42386

SHITOMASI + FREAK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 15.5581, 1.6459
2, 12.622, 13.0114, 0.389476
3, 19.2468, 10.5616, 8.68521
4, 11.0284, 13.9251, 2.89668
5, 13.1216, 12.6318, 0.489738
6, 11.2206, 14.2188, 2.99822
7, 15.3662, 11.8529, 3.51331
8, 20.0258, 11.9646, 8.06122
9, 12.6129, 11.191, 1.4219
10, 14.3845, 13.4042, 0.980354
11, 10.5171, 11.5668, 1.04967
12, 10.5696, 11.848, 1.27841
13, 8.68673, 12.1102, 3.42351
14, 11.2842, 11.8034, 0.519197
15, 7.96017, 11.4529, 3.4927
16, 9.02671, 10.9277, 1.90102
17, 9.77828, 10.3181, 0.539767
18, 10.641, 10.2966, 0.34432

SHITOMASI + SIFT
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.0746, 0.162385
2, 12.622, 11.7723, 0.849622
3, 19.2468, 10.9546, 8.29215
4, 11.0284, 12.6742, 1.6458
5, 13.1216, 11.8323, 1.28928
6, 11.2206, 12.9945, 1.7739
7, 15.3662, 13.4182, 1.94802
8, 20.0258, 13.2566, 6.76923
9, 12.6129, 12.2092, 0.403667
10, 14.3845, 13.5138, 0.870694
11, 10.5171, 12.1296, 1.61251
12, 10.5696, 11.5386, 0.969019
13, 8.68673, 11.3886, 2.70186
14, 11.2842, 11.5744, 0.29027
15, 7.96017, 11.1548, 3.19468
16, 9.02671, 7.48477, 1.54194
17, 9.77828, 11.0073, 1.22907
18, 10.641, 8.23276, 2.40821

HARRIS + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 10.9082, 3.00402
2, 12.622, 52.7952, 40.1732
3, 19.2468, -11.4731, 30.7199
4, 11.0284, 11.3951, 0.366735
5, 13.1216, 44.9166, 31.795
6, 11.2206, 12.9945, 1.7739
7, 15.3662, 13.497, 1.86921
8, 20.0258, 17.6204, 2.40547
9, 12.6129, 0.136149, 12.4767
10, 14.3845, -153.93, 168.314
11, 10.5171, 11.7414, 1.22431
12, 10.5696, 11.6948, 1.12521
13, 8.68673, 284.161, 275.474
14, 11.2842, 7.72144, 3.56273
15, 7.96017, -12.639, 20.5992
16, 9.02671, 7.09479, 1.93192
17, 9.77828, 12.5848, 2.80656
18, 10.641, 0.687055, 9.95391

HARRIS + BRIEF
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, -inf, inf
2, 12.622, 63.8475, 51.2255
3, 19.2468, -11.4731, 30.7199
4, 11.0284, 10.9782, 0.0501673
5, 13.1216, 35.3833, 22.2617
6, 11.2206, 15.2483, 4.02768
7, 15.3662, 14.2744, 1.09179
8, 20.0258, 17.6204, 2.40547
9, 12.6129, 3.93864, 8.67425
10, 14.3845, 20.5862, 6.20167
11, 10.5171, 11.1552, 0.638047
12, 10.5696, -inf, inf
13, 8.68673, 13.4327, 4.746
14, 11.2842, 5.66097, 5.62321
15, 7.96017, -13.6263, 21.5865
16, 9.02671, 6.7641, 2.26261
17, 9.77828, 12.5848, 2.80656
18, 10.641, 12.8381, 2.19717

HARRIS + ORB
Index, Lidar TTC, Camera TTC, Error
